id_,year,month,state,mode,etiology,animal_type
46097,2011,4,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46098,2011,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46099,2011,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46100,2012,8,Wyoming,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle; Sheep or goats; Pig; Other small mammalian household pet
46101,2012,7,Wyoming,Animal Contact,Salmonella enterica,Pig; Dog or Puppy; Cattle; Other (specify); Sheep or goats
46102,2012,8,Wyoming,Animal Contact,Salmonella enterica,Sheep or goats; Sheep or goats; Pig
46103,2012,6,Virginia,Animal Contact,Salmonella enterica; Salmonella enterica,"Bird, not including poultry"
46104,2012,5,Alaska,Animal Contact,Campylobacter jejuni,Baby chick or duckling; Other poultry
46105,2012,5,Utah,Animal Contact,Campylobacter jejuni,"Bird, not including poultry"
46106,2012,5,Utah,Animal Contact,Salmonella enterica,Other reptile
46107,2011,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46108,2012,9,Oregon,Animal Contact,Campylobacter jejuni,Dog or Puppy
46109,2012,2,Kentucky,Animal Contact,Salmonella enterica,Turtle
46110,2011,8,Multistate,Animal Contact,Salmonella enterica,Other (specify)
46111,2012,8,Utah,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats
46112,2012,11,Minnesota,Animal Contact,Cryptosporidium,Cattle
46113,2012,10,Washington,Animal Contact,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",Other (specify); Cattle; Sheep or goats; Other poultry
46114,2009,6,North Carolina,Animal Contact,Cryptosporidium parvum,Cattle
46115,2012,4,Illinois,Animal Contact,Salmonella enterica; Salmonella enterica; Salmonella enterica; Salmonella enterica; Salmonella enterica,Turtle
46116,2013,3,South Dakota,Animal Contact,Cryptosporidium unknown,Other poultry; Baby chick or duckling; Sheep or goats; Sheep or goats; Other (specify); Other (specify); Other (specify); Sheep or goats; Sheep or goats; Cattle; Cattle; Pig; Other small mammalian household pet
46117,2013,3,Wyoming,Animal Contact,Campylobacter jejuni,Cattle; Cattle; Other (specify); Other (specify)
46118,2012,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46119,2012,7,Multistate,Animal Contact,Salmonella enterica,Other poultry
46120,2013,3,Kansas,Animal Contact,Cryptosporidium unknown,Cattle
46121,2011,10,Multistate,Animal Contact,Salmonella enterica,Dog or Puppy
46122,2012,4,Multistate,Animal Contact,Salmonella enterica,Other poultry
46123,2012,3,Multistate,Animal Contact,Salmonella enterica,Other poultry
46124,2012,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46125,2012,2,Multistate,Animal Contact,Salmonella enterica,Other poultry
46126,2012,3,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica; Salmonella enterica,Other poultry; Baby chick or duckling
46127,2012,2,Multistate,Animal Contact,Salmonella enterica,Other poultry
46128,2013,3,Montana,Animal Contact,Campylobacter other,Dog or Puppy
46129,2013,4,Montana,Animal Contact,Campylobacter coli,Cattle
46130,2013,5,Ohio,Animal Contact,Campylobacter jejuni,Dog or Puppy
46131,2013,6,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle; Sheep or goats
46132,2013,4,Iowa,Animal Contact,Salmonella enterica,Baby chick or duckling
46133,2013,8,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46134,2013,8,Pennsylvania,Animal Contact,Campylobacter,Cattle
46135,2013,6,Minnesota,Animal Contact,Campylobacter jejuni,Other (specify)
46136,2013,9,Iowa,Animal Contact,Cryptosporidium,Cattle
46137,2012,7,Multistate,Animal Contact,Salmonella enterica,Other small mammalian household pet
46138,2013,10,Ohio,Animal Contact,Salmonella enterica; Campylobacter,Dog or Puppy
46139,2011,12,Multistate,Animal Contact,Salmonella enterica,Other small mammalian household pet
46140,2011,8,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica,Turtle
46141,2011,10,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica,Turtle
46142,2012,2,Multistate,Animal Contact,Salmonella enterica,Turtle
46143,2011,5,Multistate,Animal Contact,Salmonella enterica,Turtle
46144,2012,4,Multistate,Animal Contact,Salmonella enterica,Turtle
46145,2011,12,Multistate,Animal Contact,Salmonella enterica,Turtle
46146,2012,6,Multistate,Animal Contact,Salmonella enterica,Turtle
46147,2011,9,Multistate,Animal Contact,Salmonella enterica,Turtle
46148,2013,10,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46149,2013,10,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats
46150,2013,6,New Hampshire,Animal Contact,Salmonella enterica,Dog or Puppy
46151,2013,6,Michigan,Animal Contact,Salmonella enterica,Baby chick or duckling; Other poultry; Sheep or goats; Pig; Other (specify); Other small mammalian household pet
46152,2013,10,Michigan,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats; Cattle; Other (specify); Pig; Other poultry; Other small mammalian household pet; Cat or kitten; Other poultry; Other poultry
46153,2013,8,Alaska,Animal Contact,Campylobacter jejuni,Other poultry
46154,2013,7,Colorado,Animal Contact,Cryptosporidium,Cattle
46155,2013,3,Multistate,Animal Contact,Salmonella enterica,Other poultry
46156,2013,9,Kentucky,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle; Other poultry; Other (specify); Sheep or goats; Other (specify); Other small mammalian household pet; Cattle
46157,2014,1,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46158,2013,6,Missouri,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats
46159,2013,3,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica; Salmonella enterica; Salmonella enterica,Baby chick or duckling
46160,2013,2,Virginia,Animal Contact,"Streptococcus Group B, C or G",Other small mammalian household pet
46161,2013,10,Maryland,Animal Contact,Campylobacter coli,Cattle
46162,2013,12,Ohio,Animal Contact,Salmonella enterica,Turtle
46163,2014,2,Utah,Animal Contact,Campylobacter other; Campylobacter coli,Sheep or goats
46164,2013,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46165,2012,7,Idaho,Animal Contact,Salmonella enterica,Lizard
46166,2013,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46167,2013,12,Colorado,Animal Contact,Salmonella enterica,Other small mammalian household pet; Other small mammalian household pet
46168,2014,5,Pennsylvania,Animal Contact,Campylobacter unknown,Other poultry
46169,2014,5,Kansas,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46170,2014,5,Kansas,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
